source,content,price,product_type,vendor
3d-ador-allure,"Product Name: Ador 3D Allure
Description: Intelligent Voice Control Computer Body Scan System 3D Massage Mechanism SL-Track Full Body Compression Massage 3 Steps Zero Gravity Space Saving Technology 21 Auto Programs &amp; 6 Massage Styles Triple Action Foot Massager &amp; Calf Roller Lumbar Heat Therapy Calf Kneading Extendable Footrest Surround Sound Bluetooth Speakers const externalURL = ""https://ota-shawn.github.io/Products/Ador/Ador%20AD-Allure.html""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap(); });
[Available Options & Prices]
- [Color: Black & Charcoal / Delivery: Curbside Delivery - Free / Warranty: 1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free] => Total Price: $4999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5623.95 | Availability: 1000 in stock",4999.0,Massage Chair,Ador
3d-drift,"Product Name: 3D Drift
Description: 3D Massage Mechanism Brushless Motor Automatic Body Scan Zero Gravity Technology 4” Space-Saving Design SL-Track System 12 Auto Massage Programs 5 Manual Massage Programs Wide Armrest 32-Cell Full Body Air Massage Silent Foot Rollers Spring-Loaded Extendable Footrest Adjustable Lumbar Heating const externalURL = ""https://ota-shawn.github.io/Products/Titan/3D%20Drift.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Color: Taupe / Delivery: Curbside Delivery - Free / Warranty: 1 Year (Parts/Labor) 2&3 Year (Parts Only) - Free] => Total Price: $3999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4623.95 | Availability: 999 in stock
- [Standard Option] => Total Price: $3999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4623.95 | Availability: 1000 in stock",3999.0,Massage Chair,Titan
4d-advent,"Product Name: Titan 4D Advent
Description: 4D Massage Mechanism Spinning Calf Roller Massage Automatic Body Scan 3-Stage Zero Gravity Reclining SL-Track 24 Auto Massage Programs 6 Manual Massage Programs 34-Cell Full Body Air Massage 3 Specialized Foot Rollers Automatic Extendable Footrest Lumbar and Feet Heating Therapy const externalURL = ""https://ota-shawn.github.io/Products/Titan/Advent.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Color: Black / Delivery: Curbside Delivery - Free / Warranty: 1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free] => Total Price: $7999.0 | Availability: 999 in stock
- [Standard Option] => Total Price: $8248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $7999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $7999.0 | Availability: 999 in stock
- [Standard Option] => Total Price: $8248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8274.0 | Availability: 999 in stock
- [Standard Option] => Total Price: $8523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8623.95 | Availability: 1000 in stock",7999.0,Massage Chair,Titan
4d-panorama,"Product Name: 4D Panorama
Description: 4D Massage Mechanism 53” SL Track Dual Guide Rail Signature - Deep Calf Kneading Triple Foot Reflexology Automatic Body Scan Space Saving Technology Lumbar &amp; Feet Heat Therapy 24 Auto Massage Programs 24-Cell Full Body Air Massage Automatic Extendable Footrest 3 Stage Zero Gravity Wireless Charging HD Bluetooth Speakers Shortcut Panels const externalURL = ""https://ota-shawn.github.io/Products/Osaki/Panorama.html""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap(); });
[Available Options & Prices]
- [Color: Brown / Delivery: Curbside - Free / Warranty: 1 Year (Parts/Labor) 2&3 Year (Parts Only) - Free] => Total Price: $8999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $8999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $9623.95 | Availability: 1000 in stock",8999.0,Massage Chair,Osaki
4d-sapphire,"Product Name: Osaki Platinum - Sapphire 4D+
Description: 4D+ Sonic Wave Tech Ultra Mechanism (12 intensity levels) Sonic Wave Foot Reflexology Palm Rolling &amp; Arm Shiatsu 23 Total Massage Programs 13 Sonic Wave Programs 4D Heated Back Rollers Arms &amp; Calves Heating Calf &amp; Foot Rollers Adjustable Shoulder Airbags Extended SL-Track 46-Cell Full Body Air Massage Advanced Body Scan Adjustable LED Lighting 3 Stage Zero Gravity 7"" Touchscreen Display Automatic Foot Extension const externalURL = ""https://ota-shawn.github.io/Products/Osaki/Sapphire.html""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap(); });
[Available Options & Prices]
- [Color: Beige / Delivery: Curbside - Free / Warranty: 5 Year(3 Years Full Service & Additional 2 Years Parts)] => Total Price: $13999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $14274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $13999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $14274.0 | Availability: 1000 in stock",13999.0,Massage Chair,Osaki
ai-3d-envy,"Product Name: AI 3D Envy
Description: 3D Massage Mechanism AI Body Condition Detector Automatic Body Scan 2-Stage Zero Gravity SL-Track System 12 Auto Programs 6 Manual Programs 38-Cell Full Body Air Massage 2 Specialized Foot Rollers Automatic Extendable Footrest Lumbar &amp; Calf Heat Therapy const externalURL = ""https://ota-shawn.github.io/Products/Osaki/AI%203D%20Envy.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Color: Beige / Delivery: Curbside Delivery - Free / Warranty: 1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free] => Total Price: $5999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $5999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $6623.95 | Availability: 1000 in stock",5999.0,Massage Chair,Osaki
am-206-4-head-massage-gun,"Product Name: AM-206 4 head Massage Gun
Description: const externalURL = ""https://ota-shawn.github.io/Products/Others/AM-206%204%20head%20Massage%20Gun.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $79.99 | Availability: 1000 in stock",79.99,Portable Massager,AmaMedic
am-50181-sonic-vibration-foot-massager,"Product Name: AM 50181 Sonic Vibration Foot Massager
Description: 4 MASSAGE HEADS Heat Therapy 3 MASSAGE MODES 3 SHAKING PLATES ERGONOMIC DESIGN const externalURL = ""https://ota-shawn.github.io/Products/Others/AM50181%20Sonic%20Vibration.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $149.99 | Availability: 1000 in stock",149.99,Portable Massager,AmaMedic
am-528d-foot-soaking-spa,"Product Name: AM-528D Foot Soaking Spa
Description: const externalURL = ""https://ota-shawn.github.io/Products/Others/AM-528D%20Foot%20Soaking%20Spa.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $89.99 | Availability: 1000 in stock",89.99,Portable Massager,AmaMedic
am-815-knee-massagers,"Product Name: AM-815 Knee Massagers
Description: const externalURL = ""https://ota-shawn.github.io/Products/Others/AM-815%20Knee%20Massagers.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $99.99 | Availability: 1000 in stock",99.99,Portable Massager,AmaMedic
