no,name,priority,notes,list_price
32,Titan eCabin 3D,,1799,1799
71,OS-3D AI Vito,,1999,1999
48,Titan Axiom LE,,1999,1999
46,AmaMedic 3D Astoria,,2199,2199
50,OS-3D Champ II,,2199,2199
70,Osaki AI Monarch LE,,2199,2199
15,Titan Ignite Sync 3D+2D,,2499,2499
52,Grande XL-Big and Tall,,2499,2499
98,Osaki OS-3D Hamilton LE,,2499,2499
34,Amamedic Haven 4D,,2699,2699
19,Titan Gemini,,2999,2999
39,Titan Pro 4D Endor,,2999,2999
83,Titan Rejuv 4D,,2999,2999
23,Osaki 4D Helix LE,,3499,3499
33,Titan 4D Ion,,3499,3499
40,Osaki Vibe 4D,,3499,3499
49,Osaki OS-4D Achilles,,3499,3499
92,Osaki OP-4D Ultima,,3499,3499
13,Osaki Solo Flex 4D,,3999,3999
42,Osaki aI 4D Yoga Flex,,3999,3999
53,Titan TP-Epic 4D,,3999,3999
76,AmaMedic AI Revive 4D,,3999,3999
11,Osaki 4D Emperor II,,4499,4499
6,Osaki Pro 4D Epic LE,,4999,4999
94,Osaki OS-Highpointe 4D,,4999,4999
43,Osaki 5D+4D Kairos Duo,,5999,5999
72,Osaki 4D Bravo Duo Mech 4D+3D,,5999,5999
18,Osaki Duke XL 4D,,6999,6999
38,Osaki 4D+3D Bravo Dul Flex,,6999,6999
77,Osaki JP-Nexus 4D Made in Japan,,6999,6999
68,Osaki 4D+3D Manhattan Duo,,7999,7999
87,Osaki 4D Maestro LE 2.0,,7999,7999
88,Osaki OP-4D Master,,7999,7999
90,Osaki OP-AI Xrest 4D,,8499,8499
47,Osaki OS-Trion Flex Duo 4D+3D,,9999,9999
41,Osaki AI Apex 5D+4D Duo,,12999,12999
81,Osaki OS-Pro 4D+3D DuoMax,,12999,12999
37,Osaki Platinum - Sapphire 4D+,,13999,13999
54,Osaki OS-Pro 4D+3D DuoMax SE,,13999,13999
57,Osaki Platinum - Escape Duo 4D,,15999,15999
2,Osaki Platinum - Vanguard Duo 4D,,15999,15999
29,Pinnacle 5D Duoflex AI,,16999,16999
1,Titan Pro 3D Nexa,,N/A,
3,Titan Pro-3D Prestige LE,,N/A,
4,Titan Pro Cura 4D,,N/A,
5,Titan Pro 4D Aria,,N/A,
7,Titan Malibu Sync,,N/A,
8,Osaki Pro Quest 3D,,Costco Exclusive,
9,Osaki Pro Vivant 5D,,Costco Exclusive,
10,Osaki 3D 4000LE,,Costco Exclusive,
12,Kanji 4D Shogun Duo,,N/A,
14,Osaki Signature II,,N/A,
16,Titan Pro 4D Astro,,N/A,
17,Osaki Virtus Duo 4D,,N/A,
20,Osaki Nova II 3D+,,N/A,
21,Osaki Oasis,,N/A,
22,Osaki Hypnos 4D Pro AI,,N/A,
24,Titan Nido 3D,,discontinued,
25,Tesoro 3D,,N/A,
26,Ventura 3D,,N/A,
27,Titan Forge,,N/A,
28,Titan 4D Plantaris,,N/A,
30,Osaki OS-Champ,,discontinued,
31,OS-Pinnacle LE,,discontinued,
35,Titan TI Reflex 3D,,discontinued,
36,4D Panorama,,N/A,
44,Osaki Vista 4D,,discontinued,
45,Osaki Somnus 4D Duoflex AI,,N/A,
51,Arcadia 3D LE,,N/A,
55,Titan 4D Advent,,N/A,
56,Ultra 2,,N/A,
58,Osaki Platinum - Horizon 4D Pro,,N/A,
59,3D Drift,,N/A,
60,4D Zion,,N/A,
61,Osaki 4D+3D Flagship Duo,,discontinued,
62,Osaki Atlas XL,,Costco Exclusive,
63,Osaki 4D + 3D Orion Duo Mech,,Costco Exclusive,
64,Ti-Regal,,N/A,
65,Osaki AI Series Grand Duo 4D+4D,,Costco Exclusive,
66,AI 3D Envy,,Costco Exclusive,
67,Ti-Royale,,N/A,
69,Ti-H7,,N/A,
73,Sonoma 4D,,N/A,
74,Titan Telos,,discontinued,
75,Osaki Ziva,,N/A,
78,TP-Ronin 4D,,N/A,
79,TP-4D 8500 Max,,N/A,
80,OS-3D Aspire,,Costco Exclusive,
82,Osaki Platinum 4D Avalon,,N/A,
84,Osaki Platinum Solis Duo 4D+,,discontinued,
85,Osaki aI Vivo 4D+2D,,discontinued,
86,Osaki OS-AI VERA 4D+,,Costco Exclusive,
89,OSaki OS-3D Tao,,discontinued,
91,Titan Premium Fleetwood II 4D,,discontinued,
93,Osaki OS-Atai,,discontinued,
95,Osaki OS-3D Belmont,,discontinued,
96,Osaki 3D Dreamer V2,,discontinued,
97,AmaMedic Q7,,discontinued,
99,Titan Pro-Vigor 4D,,discontinued,
100,Osaki OS-Pro 3D Tecno,,discontinued,
101,Osaki OS-Pro Soho II,,discontinued,
102,Titan 3D Quantum,,discontinued,
103,Titan Pro-Acro 3D,,N/A,
104,Osaki OS-4000XT,,N/A,
105,Osaki OS-Pro 3D Admiral II,,discontinued,
106,Osaki OS-Pro Maestro 4D,,N/A,
107,Osaki Pro OS-4D Paragon,,discontinued,
108,Osaki OS-Pro Maestro LE,,discontinued,
109,Osaki OS-Monarch,,discontinued,
110,AmaMedic Hilux 4D,,discontinued,
111,Titan TP-Cosmo,,discontinued,
112,Titan 3D Prestige,,discontinued,
113,Ador 3D Allure,,N/A,
