Most popular Questions and Problems,,
Category - Power,Questions,Possible Solutions
Chair has no power,"Is there any lights(led, panels, power switch) on, does the chair make any sounds","power cable not plugged in, power cord is damaged, switched outlet, blown fuse, main board damaged due to power surge,power switch is off"
Remote is dead,Are you able to control the chair with the side panels buttons? Do you hear a clicking noise when you flip the switch?,Clicking noise = Remote replacement. No clicking noise = Power PCB/Fuse.
Chair has no power,Have you checked the fuses? Do you have a power surge? Is the switch on the back flipped?,Give directions on how to check the fuses depending on the chair. Check different outlets in the house if possible. Check power cord.
Wireless charging is not working,Have you removed your phone's case? Have you tried multiple devices? Does your phone have wireless charging?,"Charge phone w/out case, replace wireless charging pad, replace side panel(very rare)"
Red blinking light.,Where is this red light located? Does the chair get any power? Are you getting any error codes?,Advise the blinking light means the chair has power.
USB charging is not working,Have you tried multiple charging cables? ,"Replace charging cable, replace usb charging port/board"
chair turning off after 9 mins,please use all features in manual mode to see if theres any specific motion that triggers the power outage,"this could be a main pcb issue, although it is also likely a certain aspect of the chair is shorting the pcb itself"
Red light is constantly blinking,Ask if it blinks while in use or if it is off but not unplugged,If the light is blinking only when the chair is not in explain that the chair is fine and the blinking indicates chair is in standby. If blinking and chair is not coming on check on mech replacement as the light indicates errors but no code on chair
Chair does not power on,Ask customr to check fuses on the chair and verify if the chair makes noises but does not turn on,If chair power turns on and clicking is heard replace main and power PCB if replacing the fuses did fix the issue 
fuse is blown,please send a photo of the fuse to ensure it was blown,"if fuse was blown, we can easily send out a replacement the cx can use to swap"
(Pinnacle 5D Specific) Chair Unresponsive,Is the chairs remote connected properly/Have you tried reseating the connection?,Reconnecting the remote/Replacing remote wire to pcb & Remote
Cyber Blinking Red Light,Does the mech move temporarily? Does the chair get power?,Repace comm cables
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
, ,
,,
,,
, ,
,,
,,
,,
Category - Mech,,
mech does not move,"Can you remove backpad/innler liner, does the mech move in manual mode? Does mech make abnormal sounds?","Strap/innler liner tangled in mech(cut strap and retest), replace mech if it appears damaged"
Noises coming from inside chair,Does the mech still move or is it stuck? Request for a video of the noise with the rollers exposed.,"Replace mech, if mech is stuck in the middle 3D sensor can be replaced, if mech is stuck at the top try pulling the mech to put it back on the 3D track."
Mech stopped during operation,Ask the customer for pictures of where on the chair the mech stopped and see if they can move it manually and have customer remove back pad and inner liner and picture the roller mech,If the mech is not tangled in the strap or appears to have damage send replacement mech if mech is not damaged and can be moved manually send replacement main PCB amd Comm cables.
One side feels stronger than the other.,How long ago you noticed this change? Did you hear anything break inside of the chair?,Open the back pad and inner liner and see how damaged the arms are. Replace the mech.
mech working sporaddically,"does this happen in both auto and manual, or just a singular mode?","when this happens, 9 times out of 10 its simply the main pcb"
Mech intensity is not changing.,"What auto modes are you using? Have you tried manual mode? If so, does it change?",Explain some auto modes are predefined and the intesnity will not change. 
Rollers are not heating up,Have you activated the heated roller function? Can you feel around the rollers for any heat after removing the backpad?,"Replace heating elements, no issue explain heat is mild, check internal wiring to pcb(maybe replace pcb if needed)"
Only kneading function is failing,Is this happening on manual/auto modes?,Replace kneading motor or full mech
one side is lower than the other side,please send a video or photo of the mech,"sometimes this is how the mechs are manufactured, but in some cases a mech swap will fix this issue"
mech feels like it dropped,do you hear any clicking noises? what did the fall sound like?,"this issue appears in all of the chairs but primarily chairs like the epic and champ 2, 3d sensor or mech usually fixes it"
Mech works for a few minutes before freezing,Ask for Onekey test if available on the model. Ask for video of the mech freezing. See if anything is caught in the mech.,"Problem may be mech, comm cables, or main pcb"
Mech on Paragon won't move up or down but still massages,Ask where the mech is.,
,,
