返回目录,,,,,,,,,,,,,,,,,,,,,,,,,,
,Massage chair fault judgment,,,,,,,,,,,,,,,,,,,,,,,,,
Enter：,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status indication: after entering the automatic fault detection mode, the corresponding fault code will be displayed on the upper right of the APP.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,phenomenon,problem description,steps of shooting the trouble ,remark,,,,,,,,,,,,,,,,,,,,,,
1,Press and hold the POWER button on the side panel for more than 40 seconds,1. There is a button stuck,1.check the POWER button on the side panel,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
2,remote control did not connected well,1.remote control wire is broken    2.remote control broken  ,1.replace remote control wire 2.replace remote control ,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
3,backrest signal is abnormity,1.The connector of the backrest wire is not well connected 2.Backrest wire Broken,1.check the connector of backrest wire 2.change the backrest wire 3.replace the mechanism,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
4,rolling signal is abnormity,1.The connector of the backrest wire is not well connected 2.rolling sensor broken,1.check the connector of backrest wire 2.rolling sensor broken,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
5,Pside panel buttons stuck,1.Button stuck,1.check the button of side panel,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
6,The communication between main PCB and the legrest PCB has exceeded 4S and has not been successful,1.connector of leg rest wire not well 2.wire of leg rest broken,1.check the connector of leg rest wire 2.change the wire of leg rest 3.replace legrest PCB,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
7,kneading signal is abnormity,1.kneading motor is abnormity    2.3D PCB is abnormity         3.counting senor is abnormity of kneading motor,1.change kneading motor            2.change 3D PCB            3.change counting sensor of kneading motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
8,tapping signal is abnormity,1.tapping motor is abnormity    2.3D PCB is abnormity         3.counting senor of tapping motor is abnormity,1.change tapping motor            2.change 3D PCB            3.change counting sensor of tapping motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
9,Telescopic signal is abnormity,1.3D Telescopic motor is abnormity    2.3D PCB is abnormity         3.counting senor of 3D Telescopic motor is abnormity,1.change 3D Telescopic motor            2.change 3D PCB            3.change counting sensor of 3D Telescopic motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
10,Abnormal heating sensor of upper mechanism,1. Abnormal heating drive circuit of the upper mechanism 2. Abnormal heating sensor of the upper mechanism 3. Heating sensor wire of the upper mechanism,1.replace upper mechanism PCB             2.replace the gearbox,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
12,The foot roller has been turned on for 10 seconds and the initial position has not been detected,1. Abnormal foot roller motor 2. The sensor of the foot rolling motor is broken,1. Replace the motor 2. Check the foot roll sensor 3. Testing wires,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
13,X-axis motor alarm,01: Overcurrent 04: Overvoltage 05: Undervoltage 06: Phase loss 07: Locked rotor 08: Over temperature 0B: Low pressure warning 0D: Hall stalling fault,1. Replace the motor 2. Testing wires,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
14,Y-axis motor alarm,01: Overcurrent 04: Overvoltage 05: Undervoltage 06: Phase loss 07: Locked rotor 08: Over temperature 0B: Low pressure warning 0D: Hall stalling fault,1. Replace the motor 2. Testing wires,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
17,lowwer leg rest Telescopic signal is abnormity,1.Telescopic motor of lowwer leg rest broken 2.the wire broken 3.counting sensor broken,1.change the motor 2.check the wire well or not 3.change the counting sensor of upper legrest  motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
18,upper leg rest Telescopic signal is abnormity,1.Telescopic motor of upper leg rest broken 2.the wire broken 3.counting sensor broken,1.change the motor 2.check the wire well or not 3.change the counting sensor of upper legrest  motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
19," when start the leg rest actuator, there is no counting signal for more than 2.5 seconds （or 40 seconds did not test the actuator Reset signal）",1.leg rest actuator  broken 2.leg rest actuator wire broken,1.change leg rest actuator 2.check the wire of the leg rest actuator,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
20,X-axis motor loses communication,1. Motor abnormality 2. Cable issues,1. Replace the motor 2. Testing wires,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
21,Y-axis motor loses communication,1. Motor abnormality 2. Cable issues,1. Replace the motor 2. Testing wires,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
22,Z-axis motor loses communication,1. Motor abnormality 2. Cable issues,1. Replace the motor 2. Testing wires,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
24,The communication between the main PCB  and the air valve control PCB has not been successful for more than 4 seconds,1. Poor contact of plug wires on the air valve control board 2. The plug line of the air valve control board is broken,1. Check if the signal plug of the air valve control board is properly plugged in 2. Replace the air valve control board and insert it线,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
25," when start the zero-G actuator, there is no counting signal for more than 2.5 seconds （or 40 seconds did not test the actuator Reset signal）",1.zero-G actuator  broken 2.zero-G actuator wire broken,1.change zero-G actuator 2.check the wire of the zero-G actuator,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
26,The leg extension push rod detects the rear signal and detects the front signal again within 2.5 seconds (the rear sensor is broken),1. The telescopic sensor is broken or has wiring problems 2. The telescopic motor is broken,1. Replace the sensor 2. Detecting sensor wires 3. Replace the telescopic motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
27,Side panel controller and main PCB failed to communicate for more than 10 seconds,1. The wiring of the side panel controller is broken 2. The side panel controller is damaged,1. Check if the side panel controller is properly connected to the power cord 2. Replace the plug-in cable of the side panel controller 3. Replace the side panel controller,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
28,"If the front and rear sensors of the leg extension push rod are both at high level, it indicates that the sensor is abnormal or the terminal is disconnected",1. The telescopic sensor is broken or has wiring problems 2. The telescopic motor is broken,1. Replace the sensor 2. Detecting sensor wires 3. Replace the telescopic motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
29,The leg extension push rod 20S did not detect the front sensor signal,1. The telescopic sensor is broken or has wiring problems 2. The telescopic motor is broken,1. Replace the sensor 2. Detecting sensor wires 3. Replace the telescopic motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
30,The leg extension push rod detects the front signal and then detects the rear signal within 2.5 seconds (the rear sensor is broken),1. The telescopic sensor is broken or has wiring problems 2. The telescopic motor is broken,1. Replace the sensor 2. Detecting sensor wires 3. Replace the telescopic motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
31,The leg extension push rod 20S did not detect the rear sensor signal,1. The telescopic sensor is broken or has wiring problems 2. The telescopic motor is broken,1. Replace the sensor 2. Detecting sensor wires 3. Replace the telescopic motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
Lower mechanism alarm number,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Abnormal collision signal (the collision signal on the PCB of the lower mechanism is triggered for more than 10 seconds when the upper mechanism is at the upper limit and the lower mechanism is at the lower limit),1. Abnormal sensor 2. Abnormal wiring,1. Replace the sensor 2. Replace the docking cable,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
34,The communication between the PCB of the lower mechanism and the main PCB has not been successful for more than 4 seconds,1. Poor contact between the back frame and the plug-in line 2. The back frame is disconnected from the plug-in line,1. Check if the backrest cable is properly plugged in 2. Replace the backrest cable,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
35,The upper and lower limit sensors of the lower mechanism are simultaneously effective,1. The upper and lower limit sensors of the lower mechanism are broken 2.lower backrest cable has come loose,1. Replace the upper and lower limit sensors of the lower mechanism 2. Check the connection of the backrest cable of the lower mechanism接,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
36,"When the rolling function of the lower mechanism is activated, abnormal rolling counting is detected",1. Poor contact of the backrest cable of the lower mechanism 2. The counting sensor of the lower mechanism is broken,1.check backrest cable of lower mechanism well or not  2.The counting sensor of the lower mechanism is broken,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
37,The 5S clock of the lower mechanism did not detect a wide position signal,1.kneading motor is abnormity    2.3D PCB is abnormity         3.counting senor is abnormity of kneading motor,1.change kneading motor            2.change 3D PCB            3.change counting sensor of kneading motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
38,lower mechanism kneading signal is abnormity,1.kneading motor is abnormity    2.3D PCB is abnormity         3.counting senor is abnormity of kneading motor,1.change kneading motor            2.change 3D PCB            3.change counting sensor of kneading motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
39,The 40S clock of the lower mechanism did not detect the upper limit sensor signal,1. The upper limit sensor is broken 2. The backrest cable connection falls off 3. The rolling motor is broken or disconnected,1. Replace the upper limit sensor board 2. Check the connection of the backrest cable 3. Replace the rolling motor or wiring,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
40,"When the rolling  function of the lower mechanism is activated, abnormal rolling counting is detected",1. The backrest cable connection falls off 2. The travel counting sensor is broken,1. Check if the backrest cable is properly plugged in 2. The rolling counting sensor is broken,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
41,"After the upper limit sensor of the lower mechanism detects the signal, the lower limit sensor signal is detected again within 2 seconds",1.The lower (upper) limit sensor is broken,1. Replace the upper limit sensor board 2. Check the connection of the upper limit sensor wire,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
42,The 40S clock of the lower mechanism did not detect the lower limit sensor signal,1. The lower limit sensor is broken 2. The backrest cable connection falls off 3. The rolling motor is broken or disconnected,1. Replace the lower limit sensor board 2. Check the connection of the back wirebackrest cable 3. Replace the faulty or wired rolling motor,turn on the chair,,,,,,,,,,,,,,,,,,,,,,
