Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Airbag (product.metafields.custom.airbag),Automatic Extendable Footrest (product.metafields.custom.automatic_extendable_footrest),Auto Program (product.metafields.custom.auto_program),Bluetooth Speaker (product.metafields.custom.bluetooth_speaker),Calf Roller (product.metafields.custom.calf_roller),Foot Roller (product.metafields.custom.foot_roller),Heating (product.metafields.custom.heating),id (product.metafields.custom.id),Massage Mechanism (product.metafields.custom.massage_mechanism),Number of Massage Styles (product.metafields.custom.number_of_massage_styles),Side Controller (product.metafields.custom.side_controller),Space Saving Technology (product.metafields.custom.space_saving_technology),Track Type (product.metafields.custom.track_type),Zero Gravity (product.metafields.custom.zero_gravity),LDT: Compare Attribute Set Code (product.metafields.ldt.compare_attribute_set),LDT: Compare Products (product.metafields.ldt.compare_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Massage technique (product.metafields.shopify.massage-technique),Power source (product.metafields.shopify.power-source),Reclining function (product.metafields.shopify.reclining-function),Upholstery material (product.metafields.shopify.upholstery-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lumi-secret-care,Lumi Secret Care,"<ul class=""feature-section""> <li>
   <strong>
    Increasing Nitric Oxide
   </strong>
  </li>
  <li>
   <strong>
    Heating Function
   </strong>
  </li>
  <li>
   Slim &amp; Light Design
  </li>
  <li>
   <strong>
    LED Light Therapy (Up to 860nm)
   </strong>
  </li>
  <li>
   <strong>
    Thermal Effect
   </strong>
  </li>
  <li>
   Day &amp; Night Modes
  </li>
  <li>
   Wireless Charging
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Titan/Lumi%20Secret%20Care.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Titan,Health & Beauty,Health Product,,true,Title,Default Title,,,,,,,,lumi-secret-care-0,,,,,799.00,999.00,true,true,,,,,00810081881302,,,,false,,,,,,,,,,,,,,,,,,,,,lumi-secret-care,,,,,,,,,false,,,,,,,,lb,,,active
lumi-diet-belt,Lumi Diet Belt,"<ul class=""feature-section""> <li><strong> LFRT (Light Fat Reduction Technology) </strong></li>
    <li><strong> Vibration Therapy </strong></li>
    <li><strong> LED Light Wavelength (Up to 950nm) </strong></li>
    <li>lightweight Design</li>
    <li>Up to 4h of Continuous Use Battery</li>
  </ul>

<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Titan/Lumi%20Diet%20Belt.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Titan,Health & Beauty,Health Product,,true,Title,Default Title,,,,,,,,lumi-diet-belt-0,,,,,799.00,999.00,true,true,,,,,00810081881296,,,,false,,,,,,,,,,,,,,,,,,,,,lumi-diet-belt,,,,,,,,,false,,,,,,,,lb,,,active
j5-jade-mat,J5 Jade Mat,"<ul class=""feature-section""> <li>416 Jade Stones</li>
<li>384 Tourmaline Stones</li>
<li>Heating therapy</li>
<li>Auto time preset</li>
<li>The size of a Queen Bed</li>
</ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Others/J5%20Jade%20Mat.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Osaki,Health & Beauty > Personal Care > Massage & Relaxation > Massagers > Manual Massage Tools,Health Product,Osaki,true,Title,Default Title,,,,,,,,j5-jade-mat-0,,,,,675.00,675.00,true,true,,,,,00812512038057,,,,false,,,,,,,,,,,,,,,,,,,,,j5-jade-mat,,,,,,,,,false,,,,,,,,lb,,,active
dpc-skinshot-led-face-mask,DPC Skinshot LED Face Mask,"<ul class=""feature-section""> <li>
   <strong>
    Auto &amp; Wave Massage Mode
   </strong>
  </li>
  <li>
   <strong>
    Near-infrared Ray 720 LED lights
   </strong>
  </li>
  <li>
   Ergonomic Design
  </li>
  <li>
   Air Circulation
  </li>
  <li>
   Double Hair Band
  </li>
  <li>
   Wireless Sensor
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Others/DPC%20Skinshot%20LED%20Face%20Mask.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Titan,Health & Beauty > Personal Care > Cosmetics > Cosmetic Tools > Skin Care Tools > Skin Care Rollers,Health Product,,true,Title,Default Title,,,,,,,,dpc-skinshot-led-face-mask-0,,,,,599.00,1599.00,true,true,,,,,00810081881319,,,,false,,,,,,,,,,,,,,,,,,,,,dpc-skinshot-led-face-mask,,,,,,,,,false,,,,,,,,lb,,,active
amamedic-shiatsu-massaging-back-seat,AmaMedic Shiatsu Massaging Back Seat (11018),"<ul>
  <li>
   Real Shiatsu Kneading Massage
  </li>
  <li>
   Four Massage Heads
  </li>
  <li>
   Heat Therapy
  </li>
  <li>
   Seat Vibration
  </li>
 </ul>

<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/Shiatsu%20Massaging%20Back%20Seat.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",AmaMedic,Office Supplies,Portable Massager,"AmaMedic, Criteo Non Recommendable",true,Title,Default Title,,,,,,,,amamedic-shiatsu-massaging-back-seat-0,,,,,129.99,149.00,true,true,,,,,00857700007545,,,,false,,,,,,,,,,,,,,,,,,,,,amamedic-shiatsu-massaging-back-seat,,,,,,,,,false,,,,,,,,lb,,,active
amamedic-gs-b1-seat-cushion,AmaMedic GS-B1 Seat Cushion,"<ul>
  <li>
   Innovative Gel-layer
  </li>
  <li>
   Breathable Mesh Cover
  </li>
  <li>
   Non-slip Bottom
  </li>
  <li>
   Ideal for Use
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/GS-B1%20Seat%20Cushion.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",AmaMedic,Health & Beauty > Personal Care > Back Care > Back & Lumbar Support Cushions,Accessory,"AmaMedic, Criteo Non Recommendable",true,Color,GS-B1 Black,,,,,,,,amamedic-gs-b1-seat-cushion-0,,,,,79.99,79.99,true,true,,,,,00812512039726,,,,false,,,,,,,,,,,,,,,,,,,,,amamedic-gs-b1-seat-cushion,,,,,,,,,,,,,,,,,lb,,,active
amamedic-otamic-massage-wave-gun-v,AmaMedic Otamic Massage Wave Gun V,"<ul>
  <li>
   <strong>
    4 Massage Heads
   </strong>
  </li>
  <li>
   <strong>
    Peaks at 3200 RPM
   </strong>
  </li>
  <li>
   5 Levels of Power Intensity
  </li>
  <li>
   3 Unique Massage Modes
  </li>
  <li>
   <strong>
    Non-Slip Hand Grip Design
   </strong>
  </li>
  <li>
   Easy Setting System
  </li>
  <li>
   Lightweight and Portable
  </li>
  <li>
   All-in-One Package
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/Massage%20Wave%20Gun%20V.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",AmaMedic,Health & Beauty,Portable Massager,"AmaMedic, Criteo Non Recommendable",true,Warranty,2 Years (Replacement) Free,,,,,,,,amamedic-otamic-massage-wave-gun-v-0,,,,,199.00,299.00,true,true,,,,,00812512036916,,,,false,,,,,,,,,,,,,,,,,,,,,massage-wave-gun-v,,,,,,,,,false,,,,,,,,lb,,,active
ador-3d-allure,Ador 3D Allure,"<ul>
<li><strong> Intelligent Voice Control </strong></li>
<li>Computer Body Scan System</li>
<li>3D Massage Mechanism</li>
<li>SL-Track</li>
<li><strong> Full Body Compression Massage </strong></li>
<li>3 Steps Zero Gravity</li>
<li>Space Saving Technology</li>
<li>21 Auto Programs &amp; 6 Massage Styles</li>
<li>Triple Action Foot Massager &amp; Calf Roller</li>
<li><strong> Lumbar Heat Therapy </strong></li>
<li><strong> Calf Kneading </strong></li>
<li>Extendable Footrest</li>
<li>Surround Sound Bluetooth Speakers</li>
</ul>
<!-- more -->
<p><script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Ador/Ador%20AD-Allure.html"";
</script> <link href=""https://ota-shawn.github.io/productGlobalCss/style.css"" rel=""stylesheet""></p>
<div id=""externalURL""></div>
<p><script crossorigin=""anonymous"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" src=""https://code.jquery.com/jquery-3.7.0.min.js""></script> <script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script></p>",Ador,Health & Beauty > Personal Care > Massage & Relaxation > Massage Chairs,Massage Chair,"3D, Ador, L-TRACK, Massage Chair",true,Color,Black & Charcoal,,Delivery,Curbside Delivery - Free,,Warranty,1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free,,ador-3d-allure-0,,,,,4999.00,,true,true,,,,,00812512038668,,,,false,,,,,,,,,,,,,,32,Manual,21,YES,-,3 spinning reflexology massage rollers,Lumbar,allure,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,4,,,,,,,lb,,,active
ador-3d-allure,,,,,,,,Color,Black & Charcoal,,Delivery,Curbside Delivery - Free,,Warranty,1 Year Extended(Parts/Labor) - $249.95,,ador-3d-allure-1,,,,,5248.95,,true,true,,,,,00812512038668,,,,,,,,,,,,,,,,,,32,Manual,21,YES,-,3 spinning reflexology massage rollers,Lumbar,allure,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,4,,,,,,,lb,,,
ador-3d-allure,,,,,,,,Color,Black & Charcoal,,Delivery,Curbside Delivery - Free,,Warranty,2 Year Extended(Parts/Labor) - $349.95,,ador-3d-allure-2,,,,,5348.95,,true,true,,,,,00812512038668,,,,,,,,,,,,,,,,,,32,Manual,21,YES,-,3 spinning reflexology massage rollers,Lumbar,allure,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,4,,,,,,,lb,,,
